character,romaji,meaning
残念ながらそれは本当なのです。,zannen nagara sore ha hontou na no desu .,It is unfortunately true.
大抵の人は僕を気違いだと思っている。,taitei no nin ha boku wo kichigai da to omotsu te iru .,Most people think I'm crazy.
それは私の台詞だよ！,sore ha watashi no serifu da yo !,That's MY line!
彼は私を蹴っています！,kare ha watashi wo ketsu te i masu !,He's kicking me!
そうしたらひとつ問題があって・・・。,sou shi tara hito tsu mondai ga atsu te ・ ・ ・ .,Then there is a problem...
あ！蝶々がいる！,a ! chouchou ga iru !,"Oh, there's a butterfly!"
驚くことではないね。,odoroku koto de ha nai ne .,It doesn't surprise me.
私はなぜか夜の方が元気だ。,watashi ha naze ka yoru no hou ga genki da .,For some reason I feel more alive at night.
それは文脈による。,sore ha bunmyaku ni yoru .,It depends on the context.
こんな馬鹿なことは言ったことが無い。,konna baka na koto ha itsutsu ta koto ga nai .,That's the stupidest thing I've ever said.
大きくなったら王様になりたい。,ookiku natsu tara ou sama ni nari tai .,"When I grow up, I want to be a king."
お金を稼ぎたいならアメリカが一番だ。,o kin wo kasegi tai nara amerika ga ichiban da .,"America is a lovely place to be, if you are here to earn money."
僕はすごく太ってる。,boku ha sugoku futotsu teru .,I'm so fat.
それで彼らの気が変わったのかも知れない。,sore de kare ra no ki ga kawatsu ta no ka mo shire nai .,That was probably what influenced their decision.
兄弟がいるとどんなだろうといつも思う。,kyoudai ga iru to donna darou to itsu mo omou .,I've always wondered what it'd be like to have siblings.
私ならそう言っただろうと思う。,watashi nara sou itsutsu ta darou to omou .,This is what I would have said.
いつまでかかっても全部を説明するのは無理だ。,itsu made kakatsu te mo zenbu wo setsumei suru no ha muri da .,It would take forever for me to explain everything.
あなたが女の子だからよ。,anata ga onnanoko da kara yo .,That's because you're a girl.
時々感情が抑えられないことがある。,tokidoki kanjou ga osae rare nai koto ga aru .,Sometimes I can't help showing emotions.
これは代わりになるものをみつけたい単語だ。,kore ha kawari ni naru mono wo mitsuke tai tango da .,It's a word I'd like to find a substitute for.
自分勝手にするつもりはない。,jibun katte ni suru tsumori ha nai .,I don't intend to be selfish.
最悪の場合を考えておこう。,saiaku no baai wo kangae te okou .,Let's consider the worst that could happen.
親友は何人いる？,shinyuu ha nani nin iru ？,How many close friends do you have?
私は反社会的かもしれないけれど人と話さないわけではない。,watashi ha han shakai teki ka mo shire nai keredo nin to hanasa nai wake de ha nai .,"I may be antisocial, but it doesn't mean I don't talk to people."
そういうものなんです。,sou iu mono na n desu .,This is always the way it has been.
失礼に振舞ったりしないのが一番だと思う。,shitsurei ni furumatsu tari shi nai no ga ichiban da to omou .,I think it is best not to be impolite.
時間はいくらでも作れる。,jikan ha ikura de mo tsukureru .,One can always find time.
僕は不幸かも知れないけれど自殺はしない。,boku ha fukou ka mo shire nai keredo jisatsu ha shi nai .,"I'd be unhappy, but I wouldn't kill myself."
起きた時私は悲しかった。,oki ta toki watashi ha kanashikatsu ta .,"When I woke up, I was sad."
あなたは新しいことを勉強したいのだと思った。,anata ha atarashii koto wo benkyou shi tai no da to omotsu ta .,I thought you liked to learn new things.
多くの人が日常のことについて文を書く。,ooku no nin ga nichijou no koto ni tsui te bun wo kaku .,Most people write about their daily life.
それをするためには危険を冒さなければならない。,sore wo suru tame ni ha kiken wo okasa nakere ba nara nai .,"In order to do that, you have to take risks."
孤独な人は、他人を恐れるから一人なのだ。,"kodoku na nin ha , tanin wo osoreru kara hitori na no da .",Every person who is alone is alone because they are afraid of others.
私は芸術家ではない。全然向いていない。,watashi ha geijutsu ie de ha nai . zenzen mui te i nai .,I am not an artist. I never had the knack for it.
もう彼女には言えないよ。そんなに単純なことではなくなってきたからね。,mou kanojo ni ha ie nai yo . sonna ni tanjun na koto de ha nakunatsu te ki ta kara ne .,I can't tell her now. It's not that simple anymore.
欲しいものがみつかると、決まって高いものだ。,"hoshii mono ga mitsukaru to , kimatsu te takai mono da .","Whenever I find something I like, it's too expensive."
どのくらいいたの？,dono kurai i ta no ？,How long did you stay?
たぶん彼にしてみれば同じことよ。,ta bun kare ni shi te mire ba onaji koto yo .,Maybe it will be exactly the same for him.
潔白であることは美しいことだ。,keppaku de aru koto ha utsukushii koto da .,Innocence is a beautiful thing.
人間は決して永遠には生きられないものだ。,ningen ha kesshite eien ni ha iki rare nai mono da .,Humans were never meant to live forever.
行き過ぎたものであっても、僕は自分の考えをなくしたくない。,"iki sugi ta mono de atsu te mo , boku ha jibun no kangae wo nakushi taku nai .","I don't want to lose my ideas, even though some of them are a bit extreme."
自分のかっこ良さをわざと隠すということ？,jibun no kakko ryou sa wo wazato kakusu to iu koto ？,You are saying you intentionally hide your good looks?
それがどこから来たのか分からなかった。,sore ga doko kara rai ta no ka wakara nakatsu ta .,I didn't know where it came from.
僕が君と一緒に住んだことは君の人生観に影響を与えたと思う。,boku ga kun to issho ni sun da koto ha kun no jinsei kan ni eikyou wo atae ta to omou .,I think my living with you has influenced your way of living.
これは重要ではない。,kore ha juuyou de ha nai .,This is not important.
好きにはなれなかった。,suki ni ha nare nakatsu ta .,I didn't like it.
彼女は、どうしてそんなことが可能なのかと尋ねている。,"kanojo ha , dou shi te sonna koto ga kanou na no ka to tazune te iru .",She's asking how that's possible.
君はただ人生の問題から逃げているだけだよ。,kun ha tada jinsei no mondai kara nige te iru dake da yo .,You're just running away from life's problems.
歌詞を見てみれば、あまり意味が無いことに気付くでしょう。,"kashi wo ken te mire ba , amari imi ga nai koto ni kizuku deshou .","If you look at the lyrics, they don't really mean much."
君の気付いていない問題がある。,kun no kizui te i nai mondai ga aru .,There's a problem there that you don't see.
私の物理の先生は授業をサボっても気にしない。,watashi no butsuri no sensei ha jugyou wo sabotsu te mo ki ni shi nai .,My physics teacher doesn't care if I skip classes.
日本へ行けたらいいのに。,nippon he ike tara ii no ni .,I wish I could go to Japan.
人ごみは大嫌い。,ningomi ha daikirai .,I hate it when there are a lot of people.
私は寝なければなりません。,watashi ha ne nakere ba nari mase n .,I have to go to bed.
その後私はそこを出るんだけど、鞄を忘れてきたことに気付くんだ。,"sono nochi watashi ha soko wo deru n da kedo , kaban wo wasure te ki ta koto ni kizuku n da .","After that, I left, but then I realized that I forgot my backpack at their house."
今日はもう聞かないよ。,kyou ha mou kika nai yo .,I won't ask you anything else today.
来週には凍るかも知れない。,raishuu ni ha kooru ka mo shire nai .,It may freeze next week.
謝罪はあったにせよ、私はまだ彼に腹を立てている。,"shazai ha atsu ta ni seyo , watashi ha mada kare ni hara wo tate te iru .","Even though he apologized, I'm still furious."
警察はあなたに弾丸をみつけさせるでしょう。,keisatsu ha anata ni dangan wo mitsuke saseru deshou .,The police will get you to find the bullets.
そんなつもりではなかったんだ。,sonna tsumori de ha nakatsu ta n da .,That wasn't my intention.
説明してくれてありがとう。,setsumei shi te kure te arigatou .,Thanks for your explanation.
理論的には、私は数学をしている。,"riron teki ni ha , watashi ha suugaku wo shi te iru .","Theoretically, I'm doing math."
丸一日オンラインで君を見ないなんてびっくりだよ。,maru ichi nichi on rain de kun wo ken nai nante bikkuri da yo .,It almost scared me not to see you online for a whole day.
何が言いたいのか分からないなあ。,nani ga ii tai no ka wakara nai naa .,I don't know what you mean.
私のパソコンは何かの役に立つはずだ。,watashi no pasokon ha nani ka no yaku ni tatsu hazu da .,My computer has got to be useful for something.
自由について私に話したかったの？,jiyuu ni tsui te watashi ni hanashi takatsu ta no ？,You wanted to tell me about freedom?
恐い話が聞きたいなら、数週間前に私が見た夢のことを話してあげるよ。,"kowai hanashi ga kiki tai nara , kazu shuukan mae ni watashi ga ken ta yume no koto wo hanashi te ageru yo .","If you want to hear a scary story, I'll tell you about a dream I had a few weeks ago."
学校に全てを求めることはできない。,gakkou ni subete wo motomeru koto ha deki nai .,One can't expect everything from schools.
分からない言葉がたくさんある。,wakara nai kotoba ga takusan aru .,There are many words that I don't understand.
バカな質問があるんだ。,baka na shitsumon ga aru n da .,I need to ask you a silly question.
こんなに明らかなことをわざわざどうやって説明したらいいのか分からない。,konna ni akiraka na koto wo wazawaza dou yatsu te setsumei shi tara ii no ka wakara nai .,"I don't know how to demonstrate it, since it's too obvious!"
ウィキペディアでいつかバイアグラを検索するなんて思ってもみなかったわ。,uikipedia de itsu ka baiagura wo kensaku suru nante omotsu te mo mi nakatsu ta wa .,"I wouldn't have thought I would someday look up ""Viagra"" in Wikipedia."
何か他の言い方はある？,nani ka hoka no ii hou ha aru ？,Can it be phrased in another way?
誰にも分からないよ。,dare ni mo wakara nai yo .,No one will know.
私はロウソクの灯りって好きだな。,watashi ha rousoku no akari tte suki da na .,I like candlelight.
痩せる必要がないというのは残念だ。,yaseru hitsuyou ga nai to iu no ha zannen da .,It's too bad that I don't need to lose weight.
授業が全然無いとでも言うの？！,jugyou ga zenzen nai to de mo iu no ？ !,You never have class or what?!
そんなに驚くことじゃないよね？,sonna ni odoroku koto ja nai yo ne ？,"It's not much of a surprise, is it?"
もう好きじゃない。,mou suki ja nai .,I don't like you anymore.
私は好奇心が強いです。,watashi ha kouki kokoro ga tsuyoi desu .,I am curious.
おめでとうございます。,o medetou gozai masu .,Congratulations!
そんなに待ちたくない。,sonna ni machi taku nai .,I don't want to wait that long.
家に来ませんか。,ie ni rai mase n ka .,Why don't you come visit us?
でも可能性は低そうだね。,de mo kanou sei ha tei sou da ne .,But the possibility seems unlikely.
ログアウトするんじゃなかったよ。,rogu auto suru n ja nakatsu ta yo .,I shouldn't have logged off.
もう何をしたらいいか分からない。,mou nani wo shi tara ii ka wakara nai .,I don't know what to do anymore.
こんなことにはなって欲しくなかった。,konna koto ni ha natsu te hosshiku nakatsu ta .,I didn't want this to happen.
君には何が起こるか分かるんじゃないかと思うけどね。,kun ni ha nani ga okoru ka wakaru n ja nai ka to omou kedo ne .,You can probably guess what happens though.
君が次に分かることは君が新聞に載るってことだ。,kun ga tsugi ni wakaru koto ha kun ga shinbun ni noru tte koto da .,"Next thing you know, you'll be in the papers."
他にどんな選択肢があるの？,hoka ni donna sentaku shi ga aru no ？,What other options do I have?
僕はそんなに旅行好きではない。,boku ha sonna ni ryokou suki de ha nai .,I am not much of a traveller.
それをするより他はない。,sore wo suru yori hoka ha nai .,I have nothing better to do.
説明もできないよ。,setsumei mo deki nai yo .,I can't explain it either.
誰にでも長所と短所がある。,dare ni de mo chousho to tansho ga aru .,Everyone has strengths and weaknesses.
君がロボットではないってことは分かる。,kun ga robotto de ha nai tte koto ha wakaru .,It only shows you're not a robot.
それは誰にでもできるというものではない。,sore ha dare ni de mo dekiru to iu mono de ha nai .,It's not something anyone can do.
まだ持ってるか分からないなあ。,mada motsu teru ka wakara nai naa .,I don't know if I still have it.
何をしてたと思う？,nani wo shi te ta to omou ？,What do you think I've been doing?
私の力を甘く見ないで。,watashi no chikara wo amaku ken nai de .,Don't underestimate my power.
私の母はあまり英語が上手に話せない。,watashi no haha ha amari eigo ga jouzu ni hanase nai .,My mom doesn't speak English very well.
私はフランス語がそんなにきちんとは話せない。,watashi ha furansu go ga sonna ni kichinto ha hanase nai .,I don't speak French well enough!
今日君は来るのかなと思っていたところだよ。,kyou kun ha kuru no ka na to omotsu te i ta tokoro da yo .,I was wondering if you were going to show up today.
そこに問題がある。,soko ni mondai ga aru .,Therein lies the problem.
宇宙でどうやって食べ物をみつけるの？,uchuu de dou yatsu te tabemono wo mitsukeru no ？,How do you find food in outer space?
お互いを信頼し合うしかない。,o tagai wo shinrai shi au shika nai .,All you can do is trust one another.
みんなあなたに会いたがってる。あなたは有名なのよ！,minna anata ni ai tagatsu teru . anata ha yuumei na no yo !,Everyone wants to meet you. You're famous!
してもいないことをどうして謝るの？,shi te mo i nai koto wo dou shi te ayamaru no ？,Why are you sorry for something you haven't done?
堅い書き物は大嫌いだ。,katai kakimono ha daikirai da .,I utterly despise formal writing!
私が何をしようと彼女はもっとうまくできると言うんだ。,watashi ga nani wo shiyou to kanojo ha motto umaku dekiru to iu n da .,"Whatever I do, she says I can do better."
何でこんなに遅くまで起きてるの？,nani de konna ni osoku made oki teru no ？,What keeps you up so late?
一週間でどれほどのことが学べるか、自分でもびっくりするはずだよ！,"ichi shuukan de dore hodo no koto ga manaberu ka , jibun de mo bikkuri suru hazu da yo !",You'd be surprised what you can learn in a week.
一緒に旅行してくれる人がいないんだ。,issho ni ryokou shi te kureru nin ga i nai n da .,I don't have anyone who'd travel with me.
忍耐が耐えられないこともある。,nintai ga tae rare nai koto mo aru .,Bearing can be unbearable.
真実のみが美しい。,shinjitsu nomi ga utsukushii .,Nothing is beautiful but the truth.
明日、彼は月に着陸する。,"ashita , kare ha gatsu ni chakuriku suru .","Tomorrow, he will land on the moon."
私は日本語が話せない。,watashi ha nippon go ga hanase nai .,I don't speak Japanese.
これは駄洒落です。,kore ha dajare desu .,This is a pun.
誰も私のことを分かってくれない。,dare mo watashi no koto wo wakatsu te kure nai .,Nobody understands me.
僕は彼女無しに生きる術を学んだ。,boku ha kanojo nashi ni ikiru jutsu wo manan da .,I learned to live without her.
これ以上考えても無駄だ。,kore ijou kangae te mo muda da .,It's useless to keep on thinking any more.
最近考えることが多過ぎる。,saikin kangaeru koto ga ta sugiru .,I have too many things on my mind these days.
メールをチェックしたかっただけ。,meeru wo chekku shi takatsu ta dake .,I just wanted to check my email.
その答えを知るのにあなたは本当にその質問をする必要があるのかしら。,sono kotae wo shiru no ni anata ha hontou ni sono shitsumon wo suru hitsuyou ga aru no kashira .,Do you really need to ask the question to know the answer?
何でうまくいかないか君に説明するにはずいぶん時間がかかりそうだ。,nani de umaku ika nai ka kun ni setsumei suru ni ha zuibun jikan ga kakari sou da .,It would take me too much time to explain to you why it's not going to work.
私のことを凡人だと思うのはやめて！,watashi no koto wo bonjin da to omou no ha yame te !,"Stop seeing me as a ""normal"" person!"
何かお飲みになりますか？,nani ka o nomi ni nari masu ka ？,Would you like something to drink?
またいつか風のように走るんだ。,mata itsu ka kaze no you ni hashiru n da .,Someday I'll run like the wind.
お願いだから泣かないで。,o negai da kara naka nai de .,Please don't cry.
何か私にできることがありましたらお知らせ下さい。,nani ka watashi ni dekiru koto ga ari mashi tara o shira se kudasai .,Let me know if there is anything I can do.
私たちがそこへ行くかどうかを決めるのは君の責任だ。,watashi tachi ga soko he iku ka dou ka wo kimeru no ha kun no sekinin da .,It is up to you to decide whether we will go there or not.
授業は八時三十分から始まるから。,jugyou ha hachi toki sanjuu fun kara hajimaru kara .,Class doesn't begin until eight-thirty.
ここから遠くまで行けるボートが欲しいです。,koko kara tooku made ikeru booto ga hoshii desu .,I want a boat that will take me far away from here.
日本人ならそんなことはけっしてしないでしょう。,nippon nin nara sonna koto ha kesshite shi nai deshou .,A Japanese would never do such a thing.
射手は鹿を射た。,ite ha shika wo sha ta .,The archer killed the deer.
私の生きているうちに共産主義が効力を持つことは無いだろう。,watashi no iki te iru uchi ni kyousan shugi ga kouryoku wo motsu koto ha nai darou .,Communism will never be reached in my lifetime.
ライ麦は貧困の穀物と称されていた。,rai mugi ha hinkon no kokumotsu to shousa re te i ta .,Rye was called the grain of poverty.
もし間違いを見つけたら訂正してください。,moshi machigai wo mitsuke tara teisei shi te kudasai .,"If you see a mistake, then please correct it."
トランプを樫のテーブルに置いて。,toranpu wo kashi no teeburu ni oi te .,Place the deck of cards on the oaken table.
ドイツ人はとてもずる賢い。,doitsu nin ha totemo zurukashikoi .,The Germans are very crafty.
人は食事を取らなければ死んでしまう。,nin ha shokuji wo tora nakere ba shin de shimau .,"If you don't eat, you die."
家に帰りましょうか。,ie ni kaeri mashou ka .,Why don't we go home?
申し訳ないけど長居できないんですよ。,moushiwake nai kedo nagai deki nai n desu yo .,"I'm sorry, I can't stay long."
まず新しいサイトの概説をしようと思う。,mazu atarashii saito no gaisetsu wo shiyou to omou .,"First, I'm going to do an outline of my new website."
自分の顔が、パスポートの顔写真のようになってきたら、旅に出た方がいい。,"jibun no kao ga , pasupooto no kao shashin no you ni natsu te ki tara , tabi ni shutsu ta hou ga ii .","When you're beginning to look like the photo in your passport, you should go on a holiday."
あぁ私の白いズボンが！新しいのに。,aa watashi no shiroi zubon ga ! atarashii no ni .,"Oh, my white pants! And they were new."
多くの人に囲まれて彼は自然と少し緊張しだした。,ooku no nin ni kakoma re te kare ha shizen to sukoshi kinchou shi dashi ta .,With so many people around he naturally became a bit nervous.
私が駅を出た時、男の人を見た。,"watashi ga eki wo shutsu ta toki , otoko no nin wo ken ta .","When I left the train station, I saw a man."
それで誰もあなたを助けなかったの？,sore de dare mo anata wo tasuke nakatsu ta no ？,And nobody helped you?
君は天使のような人だ！,kun ha tenshi no you na nin da !,You're an angel!
マドリードから来た人たちは変わっている。,madoriido kara rai ta nin tachi ha kawatsu te iru .,People from Madrid are weird.
あぁまだ、宵の口だね。,"aa mada , shounokuchi da ne .","Well, the night is quite long, isn't it?"
わたしがいなくて淋しいと思った？,watashi ga i naku te sabishii to omotsu ta ？,Did you miss me?
それらはみんな同じかい？,sore ra ha minna onaji ka i ？,Are they all the same?
ありがとうございます！,arigatou gozai masu !,Thank you very much!
すみません、卵はどこにありますか？,"sumi mase n , tamago ha doko ni ari masu ka ？","Where are the eggs, please?"
往復旅行？片道だけです。,oufuku ryokou ？ katamichi dake desu .,Round trip? Only one-way.
誰かが亡くなったときは悲しいものだよ。,dare ka ga nakunatsu ta toki ha kanashii mono da yo .,It's a pity when somebody dies.
洗ったあと引っ張って形にして。,aratsu ta ato hippatsu te katachi ni shi te .,Pull into shape after washing.
最初着る前に洗濯してください。,saisho kiru mae ni sentaku shi te kudasai .,Wash before first wearing.
電車が停まるまで開けないで。,densha ga tomaru made hirake nai de .,Don't open before the train stops.
こわれやすいガラス張りの家に住む者は石を投げてはいけない。,koware yasui garasu hari no ie ni sumu mono ha ishi wo nage te ha ike nai .,Those who live in glass houses should not throw stones.
数学は恋のようだ。単純だけど複雑にもなりうる。,suugaku ha koi no you da . tanjun da kedo fukuzatsu ni mo nari uru .,"Math is like love: a simple idea, but it can get complicated."
有意義な回答とは、新たな疑問を生むようなそれである。,"ari igi na kaitou to ha , arata na gimon wo umu you na sore de aru .",The only useful answers are those that raise new questions.
自分自身に疑問を持つことは良識の第一歩だ。,jibun jishin ni gimon wo motsu koto ha ryoushiki no dai ichi ho da .,To have doubts about oneself is the first sign of intelligence.
驚かない所をみると知ってたのね。,odoroka nai tokoro wo miru to shitsu te ta no ne .,"Seeing that you're not surprised, I think you must have known."
あなたが駅に着くのにどのくらいかかりますか。,anata ga eki ni tsuku no ni dono kurai kakari masu ka .,How long does it take to get to the station?
イタリア語を話せますか？,itaria go wo hanase masu ka ？,Do you speak Italian?
ひとつ質問してもいいですか。,hito tsu shitsumon shi te mo ii desu ka .,May I ask a question?
それをあなたに説明することは私には無理です。,sore wo anata ni setsumei suru koto ha watashi ni ha muri desu .,It's impossible for me to explain it to you.
そのことを後悔しながら余生を送りたくない。,sono koto wo koukai shi nagara yosei wo okuri taku nai .,I don't want to spend the rest of my life regretting it.
年月を経て物事がどう変わっていくか見るのは面白そうだ。,nen gatsu wo kei te monogoto ga dou kawatsu te iku ka miru no ha omoshiro sou da .,It would be fun to see how things change over the years.
そのことは全く予想していませんでした。,sono koto ha mattaku yosou shi te i mase n deshi ta .,I would never have guessed that.
想像力は私たちの生活のどの側面にも影響を与える。,souzou chikara ha watashi tachi no seikatsu no dono sokumen ni mo eikyou wo ataeru .,Imagination affects every aspect of our lives.
いつか私のことは忘れちゃうわ。,itsu ka watashi no koto ha wasure chau wa .,You'll forget about me someday.
それはいささか唐突だ。,sore ha isasaka toutotsu da .,That is rather unexpected.
どれくらいかかるのかしら。,dore kurai kakaru no kashira .,I wonder how long it's going to take.
テレビがなかったら生きていけないよ。,terebi ga nakatsu tara iki te ike nai yo .,I can't live without a TV.
君がいなければできなかった。ありがとう。,kun ga i nakere ba deki nakatsu ta . arigatou .,I couldn't have done it without you. Thank you.
努力なくしては何も得られない。,doryoku naku shi te ha nani mo e rare nai .,Nothing is achieved without effort.
多くの人が目的なく人生を漂う。,ooku no nin ga mokuteki naku jinsei wo tadayou .,Many people drift through life without a purpose.
愛のない人生など全く無意味だ。,ai no nai jinsei nado mattaku mu imi da .,Life without love is just totally pointless.
もし変更が必要でしたら、お知らせください。,"moshi henkou ga hitsuyou deshi tara , o shira se kudasai .",Let me know if I need to make any changes.
試験が教育を駄目にしていると思う。,shiken ga kyouiku wo dame ni shi te iru to omou .,I think exams are ruining education.
うるさくて眠れないんです。,urusaku te nemure nai n desu .,We can't sleep because of the noise.
あの方が言われる事を、何でもしてあげて下さい。,"ano hou ga iwa reru koto wo , nani de mo shi te age te kudasai .",Do whatever he tells you.
ブラウンさんをお願いします。,buraun san wo o negai shi masu .,May I talk to Ms. Brown?
あなたは何を求めているのですか。,anata ha nani wo motome te iru no desu ka .,What do you want?
あなたに不満があります。,anata ni fuman ga ari masu .,I have a bone to pick with you.
君にお金をあげるから俺が必要なのか。,kun ni o kin wo ageru kara ore ga hitsuyou na no ka .,Do you need me to give you some money?
パリは世界で最も美しい街である。,pari ha sekai de mottomo utsukushii machi de aru .,Paris is the most beautiful city in the world.
なぁ、金は無いかもしれないけどまだプライドは捨てちゃいないんだ。,"naa , kin ha nai ka mo shire nai kedo mada puraido ha sute cha i nai n da .","Hey, I may have no money, but I still have my pride."
私には夢がある。,watashi ni ha yume ga aru .,I have a dream.
こちらは私の友達のレイチェルです。私たちは同じ高校に通っていました。,kochira ha watashi no tomodachi no reicheru desu . watashi tachi ha onaji koukou ni kayotsu te i mashi ta .,This is my friend Rachel. We went to high school together.
生活費が断然上がった。,seikatsu hi ga danzen agatsu ta .,The cost of life increased drastically.
作り事はすべて、真実だ。,"tsukurikoto ha subete , shinjitsu da .","All that which is invented, is true."
驚くこと、不思議に思うことは理解し始めるということなんだ。,"odoroku koto , fushigi ni omou koto ha rikai shi hajimeru to iu koto na n da .","To be surprised, to wonder, is to begin to understand."
だが宇宙は無限だ。,da ga uchuu ha mugen da .,But the universe is infinite.
完璧であるには、欠点だけが欠けていた。,"kanpeki de aru ni ha , ketten dake ga kake te i ta .",To be perfect she lacked just one defect.
しかし、逆もまた真である。,"shikashi , gyaku mo mata makoto de aru .","And yet, the contrary is always true as well."
物事は、ありのまま見るのではなく、自分自身をそこに見る。,"monogoto ha , arinomama miru no de ha naku , jibun jishin wo soko ni miru .","We don't see things as they are, but as we are."
世界は奇人の巣だ。,sekai ha kijin no su da .,The world is a den of crazies.
あなたは他の誰も見ていなかった場所で私を見つけた。,anata ha hoka no dare mo ken te i nakatsu ta basho de watashi wo mitsuke ta .,You found me where no one else was looking.
君が側にいてくれれば何もいらない。,kun ga gawa ni i te kurere ba nani mo ira nai .,"If you are by my side, I don't need anything else."
知らないってどういうこと？！,shira nai tte dou iu koto ？ !,What do you mean you don't know?!
私の名前はジャックです。,watashi no namae ha jakku desu .,My name is Jack.
買い物に行かなければならない。一時間で戻るよ。,kaimono ni ika nakere ba nara nai . ichi jikan de modoru yo .,I have to go shopping. I'll be back in an hour.
とっても好きよ。,tottemo suki yo .,I like it very much.
明日会いましょうか？,ashita ai mashou ka ？,We're meeting up tomorrow?
イタリア語では何て言うんですか。,itaria go de ha nani te iu n desu ka .,How do you say that in Italian?
ここから遠いの？,koko kara tooi no ？,Is it far from here?
これらの物は私の物ではない。,kore ra no mono ha watashi no mono de ha nai .,These things aren't mine!
ありがとう、それだけだよ。,"arigatou , sore dake da yo .","Thanks, that's all."
僕と踊ってくれませんか。,boku to odotsu te kure mase n ka .,Would you like to dance with me?
ご出身はどちらですか。,go shusshin ha dochira desu ka .,Where are you from?
あなたの名前は？,anata no namae ha ？,What is your name?
イタリアはとても美しい国です。,itaria ha totemo utsukushii kuni desu .,Italy is a very beautiful country.
私のせいじゃない！,watashi no sei ja nai !,It's not my fault!
一晩泊めてもらいたいんだけど。,ichi ban tome te morai tai n da kedo .,I'd like to stay for one night.
この辺りにユースホステルはありますか？,kono atari ni yuusu hosuteru ha ari masu ka ？,Is there a youth hostel near here?
シャワーはどこですか。,shawaa ha doko desu ka .,Where are the showers?
口を開けてください！,kuchi wo hirake te kudasai !,Open your mouth!
財布をなくしたの。,saifu wo nakushi ta no .,I have lost my wallet.
愛情は浪費されるものではない。,aijou ha rouhi sa reru mono de ha nai .,Love is never wasted.
人生とは、他の予定を立てることに忙しくしている時に起こる現象のことだ。,"jinsei to ha , hoka no yotei wo tateru koto ni isogashiku shi te iru toki ni okoru genshou no koto da .",Life is what happens to you while you're busy making other plans.
欲しくないという事は持っていると同じことだ。,hosshiku nai to iu koto ha motsu te iru to onaji koto da .,Not wanting is the same as having.
彼はとてもセクシーだ。,kare ha totemo sekushii da .,He's very sexy.
ひとりにさせて！,hitori ni sa se te !,Leave me alone!
やらなければならない事がありすぎる！,yara nakere ba nara nai koto ga ari sugiru !,There are too many things to do!
おいくつですか？,o iku tsu desu ka ？,How old are you?
