character,romaji,meaning
新た,arata,"new, fresh"
あらゆる,arayuru,"all, every"
表す,arawasu,"to express, to show"
現す,arawasu,"to show, to appear, to reveal"
著す,arawasu,"to write, to publish"
現れ,araware,"expression, indication, sign"
現れる,arawareru,"to appear (v.i.), to become visible; to express"
ありがとう,arigatou,Thank you
在る; 有る,aru,"to live, to be, to exist"
或,aru,"a certain..., some..."
あるいは,aruiha,"or, perhaps"
